,start_time,end_time,subject,operation,object_id
0,1668482987.023462391,1668482987.023467557,systemd-resolve-696,recvmsg,127.0.0.53:53
1,1668482987.023576766,1668482987.023579182,systemd-resolve-696,recvmsg,127.0.0.1:52500->127.0.0.53:53
2,1668482987.023724432,1668482987.023728182,systemd-resolve-696,recvmsg,127.0.0.1:52500->127.0.0.53:53
3,1668482987.023784349,1668482987.023786265,systemd-resolve-696,recvmsg,127.0.0.1:52500->127.0.0.53:53
4,1668482988.025029596,1668482988.025037220,systemd-resolve-696,recvmsg,127.0.0.1:52500->127.0.0.53:53
5,1668482988.025184470,1668482988.025187887,systemd-resolve-696,recvmsg,127.0.0.1:50081->127.0.0.53:53
6,1668482988.025630178,1668482988.025636553,systemd-resolve-696,recvmsg,127.0.0.1:50081->127.0.0.53:53
7,1668482987.023529766,1668482987.023557141,systemd-resolve-696,sendmsg,127.0.0.1:52500->127.0.0.53:53
8,1668482987.023603432,1668482987.023619599,systemd-resolve-696,sendmsg,127.0.0.1:52500->127.0.0.53:53
9,1668482987.023756807,1668482987.023775182,systemd-resolve-696,sendmsg,127.0.0.1:52500->127.0.0.53:53
10,1668482987.023807557,1668482987.023821182,systemd-resolve-696,sendmsg,127.0.0.1:52500->127.0.0.53:53
11,1668482988.025221804,1668482988.025246970,systemd-resolve-696,sendmsg,127.0.0.1:50081->127.0.0.53:53
